Fold,Epoch,Train_Loss,Val_Loss,MSE,MAE,NMAE,MMRE,PRED30,ACC,NonZeroPerc
1,1,0.15436484610351422,0.05941449229915937,0.05941305871411252,0.14100957120763746,0.29768687254945686,0.1596357287425134,0.9,0.9315789473684211,47.368421052631575
1,2,0.05958796851336956,0.05023333275069793,0.050228526110522975,0.11312752431993814,0.23882477356431386,0.11084932453102536,0.95,0.9368421052631579,47.368421052631575
1,3,0.03962392329898042,0.04176010886052003,0.04164010340898966,0.08978553958862137,0.18954725024264513,0.09158126261706154,0.9388888888888889,0.95,47.368421052631575
1,4,0.03100605232369465,0.05313526761407653,0.053007191140717363,0.13185225312205914,0.2783547565910138,0.1880084459669888,0.9111111111111111,0.9421052631578948,47.368421052631575
1,5,0.024899976890689384,0.046022618286466845,0.04576543586065425,0.0833464871381454,0.17595369506941808,0.09757513746800316,0.9388888888888889,0.9552631578947368,47.368421052631575
2,1,0.2186619220301509,0.07023507395448784,0.07027616316027106,0.17543303331752358,0.3703586258925498,0.21325659155845642,0.8388888888888889,0.9105263157894737,47.368421052631575
2,2,0.07752248051110655,0.05136185931041837,0.051487155149184526,0.12418727053200679,0.26217312667868103,0.12809930191271834,0.8944444444444445,0.9394736842105263,47.368421052631575
2,3,0.05238475033547729,0.046825330199984215,0.04675873742374701,0.11177994038367424,0.23597987414331228,0.09597335114247268,0.9611111111111111,0.9447368421052632,47.368421052631575
2,4,0.03944639452189828,0.0418832478656744,0.04196927125993001,0.10057130575342423,0.2123172010350067,0.07723707873374223,0.9611111111111111,0.9526315789473684,47.368421052631575
2,5,0.032109993820389114,0.04502524384103405,0.04496374152093344,0.09628660699573198,0.20327172587987863,0.06654409194986026,0.9666666666666667,0.9447368421052632,47.368421052631575
3,1,0.2556617776863277,0.1320138219743967,0.13188054038282296,0.27522332160120927,0.5076935058663083,0.34698153119988556,0.5804878048780487,0.8210526315789474,53.94736842105263
3,2,0.07536889694165438,0.06231411530946692,0.06244998277431777,0.11978050428205231,0.22095432828728095,0.125692098570715,0.8829268292682927,0.9236842105263158,53.94736842105263
3,3,0.0501633157255128,0.059824997559189796,0.05983281366515228,0.11631512984412869,0.21456189000373252,0.10326043632699222,0.9121951219512195,0.9210526315789473,53.94736842105263
3,4,0.0317364896958073,0.06660906629016002,0.06678013038512215,0.11387549848464244,0.2100615991464278,0.1303618604998763,0.8878048780487805,0.9184210526315789,53.94736842105263
3,5,0.02435295342002064,0.0771789172043403,0.0772741817081645,0.11896342482711923,0.2194470943412879,0.1443996653142499,0.8390243902439024,0.9,53.94736842105263
4,1,0.15039388874235252,0.05809524096548557,0.05832167961692014,0.141734870605903,0.3034887907324138,0.12419944120792009,0.8983050847457628,0.9313984168865436,46.701846965699204
4,2,0.061133340505572654,0.04789449196929733,0.04829129732464469,0.12708451590527803,0.2721188221926575,0.0950512125098941,0.9209039548022598,0.941952506596306,46.701846965699204
4,3,0.04842502309475094,0.04139488283544779,0.041853756301608674,0.1078840760373766,0.2310060159218403,0.13311726695694828,0.8757062146892656,0.9498680738786279,46.701846965699204
4,4,0.03752424317644909,0.03935506916604936,0.03979711433745577,0.09430541428381031,0.2019308023365204,0.09418388359422275,0.903954802259887,0.9472295514511874,46.701846965699204
4,5,0.030105531545511138,0.04455259752770265,0.04505768473357878,0.11041669335721876,0.2364289648722368,0.12067859493574853,0.9096045197740112,0.9393139841688655,46.701846965699204
5,1,0.15928780722121397,0.06806775477404396,0.06857058074966936,0.1688296691229503,0.3281356133210162,0.1726611702105938,0.8717948717948718,0.920844327176781,51.45118733509235
5,2,0.06298314034938812,0.05803064722567797,0.05846639338929216,0.13188871799901836,0.25633755959809207,0.14695033886684822,0.8717948717948718,0.920844327176781,51.45118733509235
5,3,0.040672475549702845,0.0598605964332819,0.06036680364762501,0.13622651630668534,0.26476845989863457,0.13945778849033208,0.9179487179487179,0.9261213720316622,51.45118733509235
5,4,0.02951292387054612,0.06030440780644616,0.060870808159335245,0.11159824915193414,0.216901212454272,0.09933324868981847,0.9282051282051282,0.9287598944591029,51.45118733509235
5,5,0.022304805082967505,0.059019191501041256,0.059259798938090656,0.10836800699458442,0.21062294692793584,0.11662545263265761,0.9025641025641026,0.9261213720316622,51.45118733509235
