Fold,Epoch,Train_Loss,Val_Loss,MSE,MAE,NMAE,MMRE,PRED30,ACC,NonZeroPerc
1,1,0.5431571137160063,0.48062653839588165,0.48062959815843537,0.5684061367211379,0.9375010306959027,0.40340142597754797,0.26666666666666666,0.4881889763779528,47.24409448818898
1,2,0.4104642327874899,0.40827619284391403,0.40894889582878996,0.47030350166981616,0.7756953858709954,0.2677917795048819,0.55,0.6220472440944882,47.24409448818898
1,3,0.29853228759020567,0.33173661306500435,0.3322146244648673,0.4176130484730944,0.6887903526764024,0.2785649648971028,0.65,0.6614173228346457,47.24409448818898
1,4,0.22376338904723525,0.3213910162448883,0.3218099045058047,0.38821816907858286,0.6403078892594808,0.22177778345843155,0.7666666666666667,0.7322834645669292,47.24409448818898
1,5,0.17722306121140718,0.27858132123947144,0.27878955496299795,0.34987480648037955,0.5770662392598468,0.246727078821924,0.6666666666666666,0.7795275590551181,47.24409448818898
2,1,0.6243315991014242,0.5949160233139992,0.5904651331056073,0.5890705526813748,0.7958719169205808,0.46280825921209345,0.012987012987012988,0.5590551181102362,60.629921259842526
2,2,0.5172400418668985,0.5319060832262039,0.5278261787642797,0.5328636108420965,0.7199327508185772,0.3817108252605835,0.37662337662337664,0.6850393700787402,60.629921259842526
2,3,0.42483051028102636,0.3616659864783287,0.3594919223039331,0.4291055823170294,0.5797490314283269,0.26815955349893283,0.5844155844155844,0.6929133858267716,60.629921259842526
2,4,0.320504660718143,0.40220900624990463,0.39998278961937667,0.4183071319043167,0.5651596356579598,0.43792456076258707,0.35064935064935066,0.6614173228346457,60.629921259842526
2,5,0.22410571994259953,0.31871509552001953,0.3165846572984881,0.38006358966231346,0.5134901690118491,0.29256915343014195,0.5844155844155844,0.7874015748031497,60.629921259842526
3,1,0.7228115182369947,0.41294243186712265,0.41373844944999294,0.5743283033370972,0.8787915002868837,0.4531427220279622,0.014084507042253521,0.48031496062992124,55.90551181102362
3,2,0.5086121521890163,0.36734817177057266,0.3681884089642017,0.5393485903270602,0.8252683249582728,0.48138299773276694,0.18309859154929578,0.5196850393700787,55.90551181102362
3,3,0.4120163731276989,0.3384358063340187,0.3395733535969561,0.4822397803393647,0.7378849650975822,0.5005481143442678,0.23943661971830985,0.5826771653543307,55.90551181102362
3,4,0.3408432584255934,0.31919050589203835,0.3203326075385628,0.46910496348034825,0.7177871127952317,0.49820915242316016,0.23943661971830985,0.6141732283464567,55.90551181102362
3,5,0.2447632635012269,0.2852763384580612,0.28630811877938517,0.43198014690914727,0.6609816705718278,0.3847120532967115,0.4225352112676056,0.6535433070866141,55.90551181102362
4,1,0.5819557830691338,0.26568353176116943,0.26528919456784306,0.4214376075015891,0.7479033597915525,0.3875363072547963,0.3333333333333333,0.6904761904761905,50.0
4,2,0.39202302042394876,0.22853906825184822,0.2289736720982233,0.3697889679118932,0.6562452106605429,0.3530079634889724,0.4126984126984127,0.7222222222222222,50.0
4,3,0.30161352874711156,0.22628705948591232,0.2268038340457939,0.35728501693885184,0.6340551004830328,0.4466686903563126,0.25396825396825395,0.7222222222222222,50.0
4,4,0.25543505419045687,0.18179309368133545,0.18175784075659138,0.2972200465285116,0.5274609276421474,0.2666444132331187,0.6825396825396826,0.8174603174603174,50.0
4,5,0.20807691477239132,0.20466645061969757,0.2054055566141061,0.3188171723242184,0.5657882213077678,0.33909933777555584,0.5396825396825397,0.8015873015873016,50.0
5,1,0.5645880401134491,0.6688236817717552,0.6733251008388349,0.6137217138967817,0.9913966147563396,0.4724962915811274,0.1,0.5079365079365079,47.61904761904761
5,2,0.46666113194078207,0.5733936578035355,0.5778118026982001,0.5417694151992836,0.8751659783988427,0.49511396230922805,0.15,0.5396825396825397,47.61904761904761
5,3,0.367954115383327,0.4124647229909897,0.4157183376763403,0.42879571240129216,0.6926699969559335,0.26967614160643677,0.6,0.626984126984127,47.61904761904761
5,4,0.2660833951085806,0.41197606176137924,0.4160886630500536,0.41357534039869076,0.6680832421825005,0.48010784080769453,0.38333333333333336,0.7301587301587301,47.61904761904761
5,5,0.2002828624099493,0.3477825000882149,0.35043763147152907,0.40388937346777687,0.652436680217178,0.29236749377515575,0.6166666666666667,0.6984126984126984,47.61904761904761
