Fold,Epoch,Train_Loss,Val_Loss,MSE,MAE,NMAE,MMRE,PRED30,ACC,NonZeroPerc
1,1,1.0293300412595272,1.0846316739916801,1.0818490037880744,0.6592704625580255,0.48119165945327147,0.249599417069076,0.6666666666666666,0.5669291338582677,85.03937007874016
1,2,0.678328350186348,0.6830612421035767,0.6811728742842915,0.5600263959779515,0.40875489821379213,0.25156672133339775,0.6759259259259259,0.6220472440944882,85.03937007874016
1,3,0.5155035061761737,0.5771707557141781,0.5751917379347025,0.5181026890521913,0.3781554109748752,0.2500330635242992,0.6851851851851852,0.6771653543307087,85.03937007874016
1,4,0.39813379757106304,0.5585917942225933,0.5574967860062103,0.5034847677223325,0.36748600862492087,0.258847073254026,0.6481481481481481,0.7007874015748031,85.03937007874016
1,5,0.3151120967231691,0.5311430022120476,0.5285526867369071,0.47945019027848884,0.34994352968602344,0.2611905664205551,0.6759259259259259,0.6929133858267716,85.03937007874016
2,1,1.075383272022009,0.8565598577260971,0.8534948292562233,0.5410374027537549,0.40899851279599325,0.2313658589107097,0.672566371681416,0.6614173228346457,88.9763779527559
2,2,0.6067438405007124,0.7291018068790436,0.7259205351797668,0.5704682567926842,0.43124683698018385,0.35322236151470193,0.6017699115044248,0.6141732283464567,88.9763779527559
2,3,0.4858396165072918,0.5937441661953926,0.5911532191268462,0.5022030998402693,0.37964162904591786,0.2869123444093012,0.6460176991150443,0.6614173228346457,88.9763779527559
2,4,0.37447924073785543,0.5272155255079269,0.5246815386292293,0.48206595759692156,0.36441890842148233,0.2890029804720639,0.672566371681416,0.6929133858267716,88.9763779527559
2,5,0.28147407714277506,0.49030499160289764,0.4879785879835593,0.4885366146020063,0.36931041699080236,0.3112717281576455,0.6371681415929203,0.6929133858267716,88.9763779527559
3,1,1.2531136218458414,0.530806303024292,0.530851004287033,0.508387342682035,0.4035324532538653,0.25607424832525705,0.625,0.6062992125984252,88.18897637795276
3,2,0.7665753029286861,0.4580031633377075,0.45784322079832307,0.49796089506524754,0.39525646045804025,0.29035465454771403,0.5803571428571429,0.5748031496062992,88.18897637795276
3,3,0.6087232660502195,0.4928259775042534,0.493381841604572,0.5063603717511095,0.40192354507744316,0.3052415844230425,0.6339285714285714,0.6062992125984252,88.18897637795276
3,4,0.47057151794433594,0.4959228113293648,0.4971568072721958,0.5008447186684045,0.39754549544304607,0.3154945786864985,0.6160714285714286,0.6377952755905512,88.18897637795276
3,5,0.36359679140150547,0.493670754134655,0.4948922022721809,0.5037772072347131,0.39987315824255354,0.3442527538254147,0.5357142857142857,0.6377952755905512,88.18897637795276
4,1,1.2236396633088589,0.5323012545704842,0.5313296858946065,0.5003226366308,0.4317852891471287,0.23385752437624538,0.7264150943396226,0.626984126984127,84.12698412698413
4,2,0.6972684320062399,0.5363870710134506,0.5346779993007014,0.5244235519378905,0.45258470920667254,0.29223581145769395,0.5754716981132075,0.6507936507936508,84.12698412698413
4,3,0.5239632707089186,0.5183940529823303,0.5174904388413835,0.48506793190562536,0.41862027000074514,0.24248145501943502,0.7075471698113207,0.6507936507936508,84.12698412698413
4,4,0.3910167431458831,0.5121873766183853,0.5102974417580133,0.4819034047070004,0.4158892396786441,0.2593878969643851,0.6792452830188679,0.6349206349206349,84.12698412698413
4,5,0.28367015440016985,0.4934241622686386,0.49137342862423145,0.490133179558648,0.4229916481122578,0.2725580011336309,0.6509433962264151,0.6507936507936508,84.12698412698413
5,1,1.1527085695415735,1.1511243134737015,1.1511892580853398,0.70411036553837,0.5344452172158712,0.29517654318621744,0.5288461538461539,0.5634920634920635,82.53968253968253
5,2,0.738217594102025,1.1080918610095978,1.1082332032263142,0.8164164031308795,0.6196895590029567,0.4947199713397812,0.40384615384615385,0.38095238095238093,82.53968253968253
5,3,0.6255168616771698,0.7912539541721344,0.7942543674401737,0.598417538972128,0.4542205416294466,0.2932354214672859,0.5865384615384616,0.5714285714285714,82.53968253968253
5,4,0.4831621926277876,0.7467968761920929,0.7505277381260803,0.6050101847402634,0.4592245980558626,0.34570730809845546,0.5,0.5555555555555556,82.53968253968253
5,5,0.37777350656688213,0.7267259135842323,0.7306069424037419,0.5957069716283253,0.4521631230431867,0.352874855179981,0.5096153846153846,0.5634920634920635,82.53968253968253
