Fold,Epoch,Train_Loss,Val_Loss,MSE,MAE,NMAE,MMRE,PRED30,ACC,NonZeroPerc
1,1,3.9756915494799614,2.84590744972229,2.8385746585251956,1.3343695317666362,0.49989655024885776,0.6738339886233919,0.24,0.13385826771653545,98.4251968503937
1,2,2.1634451746940613,1.9130536019802094,1.9065667255132597,1.0219580216670598,0.38285742994606664,0.4583494008790879,0.456,0.3779527559055118,98.4251968503937
1,3,1.4437558986246586,1.3281697779893875,1.3217816809962062,0.7633785314447298,0.2859854675323914,0.2726268281573341,0.608,0.5039370078740157,98.4251968503937
1,4,1.0490451790392399,1.065228670835495,1.0603082400788344,0.6885376807272904,0.25794774469724446,0.26757756042253406,0.688,0.5433070866141733,98.4251968503937
1,5,0.7834012471139431,1.0540503114461899,1.0512412246340161,0.7558051094295472,0.283148226836438,0.3388094200225103,0.616,0.4566929133858268,98.4251968503937
2,1,3.9715297296643257,3.335741549730301,3.3188951705880263,1.4562591511433518,0.572584867477417,0.8179550709463429,0.23387096774193547,0.14173228346456693,97.63779527559055
2,2,2.0032605826854706,1.7017448246479034,1.6900537024326512,0.8256140595345985,0.32462224631855735,0.2988095085048112,0.5645161290322581,0.49606299212598426,97.63779527559055
2,3,1.3435219079256058,1.3369458764791489,1.3271422379024664,0.7647871999290046,0.3007058030680606,0.336981347360569,0.5887096774193549,0.5196850393700787,97.63779527559055
2,4,0.9692245870828629,1.193174883723259,1.1863202770628076,0.7366037739543464,0.28962439409350466,0.2900577065035522,0.6370967741935484,0.4881889763779528,97.63779527559055
2,5,0.795314559713006,1.1119250655174255,1.10560811617377,0.6796313153477166,0.26722345835653255,0.29835458390290903,0.7096774193548387,0.5748031496062992,97.63779527559055
3,1,4.604028895497322,2.0130041539669037,2.0152766025315922,1.13768834579648,0.4287430858046081,0.6231854420880231,0.3464566929133858,0.2125984251968504,100.0
3,2,2.461496189236641,1.617113173007965,1.6181502392924074,0.9969668998492984,0.37571156166427566,0.5313609501821163,0.4645669291338583,0.28346456692913385,100.0
3,3,1.7007422894239426,0.9688345789909363,0.9706406332630023,0.7249346051629134,0.2731949402245994,0.32995978226856565,0.6299212598425197,0.47244094488188976,100.0
3,4,1.2096824683248997,1.1514708697795868,1.1511586593785934,0.7861125018652968,0.29625011197891005,0.3692831430535303,0.6062992125984252,0.47244094488188976,100.0
3,5,0.9232981000095606,1.6191629767417908,1.6163796240641735,0.9507082888460535,0.35827879134554536,0.4513598324477472,0.5354330708661418,0.41732283464566927,100.0
4,1,4.0992104187607765,2.2296973764896393,2.233949401222687,1.2060249495127844,0.4456279872100024,0.627545161197299,0.344,0.19047619047619047,99.20634920634922
4,2,2.222185742110014,1.8813847303390503,1.8831742298245864,0.9945471277312626,0.3674866219769475,0.344128289610999,0.424,0.31746031746031744,99.20634920634922
4,3,1.4781332835555077,1.2077104449272156,1.2091433122405144,0.8024547506892492,0.2965082069995466,0.35951532481965565,0.608,0.4444444444444444,99.20634920634922
4,4,1.1910746563225985,1.254115641117096,1.2540964782714525,0.7981634877976918,0.2949225790689418,0.29736408116476876,0.64,0.5238095238095238,99.20634920634922
4,5,0.8883222993463278,0.9875527322292328,0.9868247104504938,0.7183978075072879,0.2654490432431621,0.31698575141543434,0.608,0.5317460317460317,99.20634920634922
5,1,4.264001309871674,3.0765932202339172,3.0724681210589386,1.4055540977962433,0.5002819670122223,0.7751075283717856,0.30158730158730157,0.18253968253968253,100.0
5,2,2.1946580186486244,1.975123941898346,1.9747712196869394,0.9860499435000949,0.3509669290424067,0.39972031811873115,0.5317460317460317,0.38095238095238093,100.0
5,3,1.5061953775584698,1.715461641550064,1.7159737999961757,0.988359304647597,0.35178890504405996,0.49130015908905883,0.4523809523809524,0.31746031746031744,100.0
5,4,1.167647048830986,1.3592854887247086,1.3589389821193216,0.8195177472773052,0.2916927575054815,0.3035938250144503,0.5952380952380952,0.4523809523809524,100.0
5,5,0.9009040407836437,1.0939933210611343,1.0941477090208291,0.7446566101104494,0.2650472680054142,0.30951648243700836,0.6349206349206349,0.4444444444444444,100.0
