model,entry,read,write,exit,cfp,interaction,communication,process,microm
4o,1.3507,0.6256,0.6272,0.9494,3.0758,2.0506,1.2796,0.2907,3.4139
bert,0.3618,0.3128,0.2717,0.387,0.951,0.6998,0.4408,0.2322,1.09
o3,1.3523,0.872,0.7251,1.0964,2.7409,2.0648,1.2828,0.2875,3.1943
o4minihigh,1.3002,0.6382,0.6967,1.188,2.4897,1.8499,1.2133,0.2907,2.7362
sebert,0.3633,0.3112,0.2322,0.3728,0.9226,0.6651,0.436,0.2227,1.0348
