model,entry,read,write,exit,cfp,interaction,communication,process,microm
4o,0.1438,0.4818,0.4708,0.3397,0.0837,0.1248,0.1422,0.7425,0.0742
bert,0.6761,0.722,0.7472,0.6493,0.4439,0.4834,0.6398,0.7804,0.3855
o3,0.1627,0.4028,0.4329,0.2733,0.139,0.139,0.2275,0.752,0.0821
o4minihigh,0.2212,0.4771,0.436,0.2686,0.1374,0.2006,0.2243,0.7488,0.1264
sebert,0.6809,0.7235,0.793,0.6572,0.4566,0.4961,0.6351,0.7883,0.406
