model,entry,read,write,exit,cfp,interaction,communication,process,microm
4o,96.2085,51.1848,52.2907,75.9874,100.0,99.0521,85.782,22.4329,99.842
bert,96.2085,51.1848,52.2907,75.9874,100.0,99.0521,85.782,22.4329,99.842
o3,96.2085,51.1848,52.2907,75.9874,100.0,99.0521,85.782,22.4329,99.842
o4minihigh,96.2085,51.1848,52.2907,75.9874,100.0,99.0521,85.782,22.4329,99.842
sebert,96.2085,51.1848,52.2907,75.9874,100.0,99.0521,85.782,22.4329,99.842
