model,entry,read,write,exit,cfp,interaction,communication,process,microm
4o,0.8579,0.9766,0.8291,0.6753,0.7272,0.729,0.9931,0.9542,0.7632
bert,0.1757,0.3497,0.1979,0.2319,0.2673,0.2789,0.1715,0.5481,0.3007
o3,0.8716,0.8897,0.7777,0.8531,0.718,0.7665,0.9579,0.9613,0.7561
o4minihigh,0.8515,0.9686,0.7216,0.8274,0.7095,0.8333,0.8732,0.9401,0.7375
sebert,0.1847,0.3096,0.2169,0.2201,0.2559,0.2852,0.2082,0.5786,0.3015
