model,entry,read,write,exit,cfp,interaction,communication,process,microm
4o,2.8199,0.9005,0.9084,1.7962,16.1438,7.1754,2.6509,0.3633,19.1453
bert,0.466,0.3981,0.3254,0.4724,2.4392,1.2401,0.6556,0.2575,2.9826
o3,2.8973,1.7283,1.1833,2.1548,13.8815,7.3096,3.1406,0.3728,17.3902
o4minihigh,2.9273,0.9415,1.0537,2.7488,11.9368,6.4566,2.7804,0.376,13.782
sebert,0.4771,0.3934,0.3081,0.4423,2.3381,1.1011,0.6035,0.248,2.6114
