model,train_set,test_set,entry,read,write,exit,cfp,interaction,communication,process,microm
bert,hetero,hetero,0.0549,0.0725,0.0578,0.0681,0.2113,0.0794,0.1132,0.0618,0.2578
bert,hetero,case1,0.7403,0.375,0.2925,0.2209,2.1966,0.0801,0.3022,0.3252,0.8131
bert,hetero,case2,1.1216,0.4152,0.2713,2.3661,6.6561,4.8538,0.6234,3.8129,19.6667
bert,heterogrouped,heterogrouped,0.466,0.3981,0.3254,0.4724,2.4392,1.2401,0.6556,0.2575,2.9826
bert,heterounique,heterounique,0.0616,0.0796,0.0585,0.0695,0.2165,0.0854,0.1133,0.0648,0.2471
bert,heterounique,case1,0.8289,0.3956,0.2658,0.1978,2.6735,0.0158,0.284,0.3981,0.8641
bert,heterounique,case2,1.2012,0.393,0.2924,2.4246,7.6211,4.6339,0.5579,3.6199,18.4444
bert,case1,case1,0.1117,0.2476,0.2294,0.0352,0.5146,0.0109,0.2075,0.1553,0.3677
bert,case2,case2,0.2316,0.2035,0.1053,0.6889,1.4959,0.8082,0.2058,0.5135,2.0421
se-bert,hetero,hetero,0.0529,0.0667,0.0569,0.0691,0.1946,0.0804,0.1083,0.0613,0.2358
se-bert,hetero,case1,0.7791,0.4733,0.2488,0.1444,2.6772,0.0473,0.4636,0.216,0.9126
se-bert,hetero,case2,1.193,0.3754,0.317,2.3602,7.5158,4.8854,0.8211,3.8363,21.5357
se-bert,heterogrouped,heterogrouped,0.4771,0.3934,0.3081,0.4423,2.3381,1.1011,0.6035,0.248,2.6114
se-bert,heterounique,heterounique,0.0564,0.079,0.0606,0.0711,0.2218,0.0817,0.1164,0.0653,0.2503
se-bert,heterounique,case1,0.8495,0.4515,0.267,0.1371,2.8337,0.0121,0.3786,0.2925,0.801
se-bert,heterounique,case2,1.248,0.3836,0.3006,2.4094,7.752,4.6643,0.7287,3.6561,19.9404
se-bert,case1,case1,0.1068,0.2524,0.2184,0.0352,0.4867,0.0109,0.1942,0.1456,0.3544
se-bert,case2,case2,0.207,0.1942,0.1006,0.662,1.414,0.7322,0.1848,0.4772,1.8573
